"id","siafi_code"
l10n_br_base.city_2933505,3969
l10n_br_base.city_2933604,3971
l10n_br_base.city_2300101,1301
l10n_br_base.city_2300150,1231
l10n_br_base.city_2300200,1303
l10n_br_base.city_2300309,1305
l10n_br_base.city_2300408,1307
l10n_br_base.city_2300507,1309
l10n_br_base.city_2300606,1311
l10n_br_base.city_2300705,1313
l10n_br_base.city_2300754,1587
l10n_br_base.city_2300804,1315
l10n_br_base.city_2300903,1317
l10n_br_base.city_2301000,1319
l10n_br_base.city_2301109,1321
l10n_br_base.city_2301208,1323
l10n_br_base.city_2301257,0989
l10n_br_base.city_2301307,1325
l10n_br_base.city_2301406,1327
l10n_br_base.city_2301505,1329
l10n_br_base.city_2301604,1331
l10n_br_base.city_2301703,1333
l10n_br_base.city_2301802,1335
l10n_br_base.city_2301851,1233
l10n_br_base.city_2301901,1337
l10n_br_base.city_2301950,1235
l10n_br_base.city_2302008,1339
l10n_br_base.city_2302057,1237
l10n_br_base.city_2302107,1341
l10n_br_base.city_2302206,1343
l10n_br_base.city_2302305,1345
l10n_br_base.city_2302404,1347
l10n_br_base.city_2302503,1349
l10n_br_base.city_2302602,1351
l10n_br_base.city_2302701,1353
l10n_br_base.city_2302800,1355
l10n_br_base.city_2302909,1357
l10n_br_base.city_2303006,1359
l10n_br_base.city_2303105,1361
l10n_br_base.city_2303204,1363
l10n_br_base.city_2303303,1365
l10n_br_base.city_2303402,1367
l10n_br_base.city_2303501,1369
l10n_br_base.city_2303600,1371
l10n_br_base.city_2303659,0983
l10n_br_base.city_2303709,1373
l10n_br_base.city_2303808,1375
l10n_br_base.city_2303907,1377
l10n_br_base.city_2303931,0993
l10n_br_base.city_2303956,1239
l10n_br_base.city_2304004,1381
l10n_br_base.city_2304103,1383
l10n_br_base.city_2304202,1385
l10n_br_base.city_2304236,1241
l10n_br_base.city_2304251,1589
l10n_br_base.city_2304269,1243
l10n_br_base.city_2304277,1245
l10n_br_base.city_2304285,1247
l10n_br_base.city_2304301,1387
l10n_br_base.city_2304350,1591
l10n_br_base.city_2304400,1389
l10n_br_base.city_2304459,0987
l10n_br_base.city_2304509,1391
l10n_br_base.city_2304608,1393
l10n_br_base.city_2304657,1249
l10n_br_base.city_2304707,1395
l10n_br_base.city_2304806,1397
l10n_br_base.city_2304905,1399
l10n_br_base.city_2304954,1251
l10n_br_base.city_2305001,1401
l10n_br_base.city_2305100,1403
l10n_br_base.city_2305209,1405
l10n_br_base.city_2305233,1253
l10n_br_base.city_2305266,1255
l10n_br_base.city_2305308,1407
l10n_br_base.city_2305332,1257
l10n_br_base.city_2305357,1593
l10n_br_base.city_2305407,1409
l10n_br_base.city_2305506,1411
l10n_br_base.city_2305605,1413
l10n_br_base.city_2305654,1259
l10n_br_base.city_2305704,1415
l10n_br_base.city_2305803,1417
l10n_br_base.city_2305902,1419
l10n_br_base.city_2306009,1421
l10n_br_base.city_2306108,1423
l10n_br_base.city_2306207,1425
l10n_br_base.city_2306256,0991
l10n_br_base.city_2306306,1427
l10n_br_base.city_2306405,1429
l10n_br_base.city_2306504,1431
l10n_br_base.city_2306553,1595
l10n_br_base.city_2306603,1433
l10n_br_base.city_2306702,1435
l10n_br_base.city_2306801,1437
l10n_br_base.city_2306900,1439
l10n_br_base.city_2307007,1441
l10n_br_base.city_2307106,1443
l10n_br_base.city_2307205,1445
l10n_br_base.city_2307254,0985
l10n_br_base.city_2307304,1447
l10n_br_base.city_2307403,1449
l10n_br_base.city_2307502,1451
l10n_br_base.city_2307601,1453
l10n_br_base.city_2307635,1261
l10n_br_base.city_2307650,1585
l10n_br_base.city_2307700,1455
l10n_br_base.city_2307809,1457
l10n_br_base.city_2307908,1459
l10n_br_base.city_2308005,1461
l10n_br_base.city_2308104,1463
l10n_br_base.city_2308203,1465
l10n_br_base.city_2308302,1467
l10n_br_base.city_2308351,1597
l10n_br_base.city_2308377,1263
l10n_br_base.city_2308401,1469
l10n_br_base.city_2308500,1471
l10n_br_base.city_2308609,1473
l10n_br_base.city_2308708,1475
l10n_br_base.city_2308807,1477
l10n_br_base.city_2308906,1479
l10n_br_base.city_2309003,1481
l10n_br_base.city_2309102,1483
l10n_br_base.city_2309201,1485
l10n_br_base.city_2309300,1487
l10n_br_base.city_2309409,1489
l10n_br_base.city_2309458,1265
l10n_br_base.city_2309508,1491
l10n_br_base.city_2309607,1493
l10n_br_base.city_2309706,1495
l10n_br_base.city_2309805,1497
l10n_br_base.city_2309904,1499
l10n_br_base.city_2310001,1501
l10n_br_base.city_2310100,1503
l10n_br_base.city_2310209,1505
l10n_br_base.city_2310258,1599
l10n_br_base.city_2310308,1507
l10n_br_base.city_2310407,1509
l10n_br_base.city_2310506,1511
l10n_br_base.city_2310605,1513
l10n_br_base.city_2310704,1515
l10n_br_base.city_2310803,1517
l10n_br_base.city_2310852,1267
l10n_br_base.city_2310902,1519
l10n_br_base.city_2310951,1269
l10n_br_base.city_2311009,1521
l10n_br_base.city_2311108,1523
l10n_br_base.city_2311207,1525
l10n_br_base.city_2311231,1271
l10n_br_base.city_2311264,9917
l10n_br_base.city_2311306,1527
